"키워드보고서(2020.09.11.~2020.12.09.),maframall01"
"광고그룹","키워드","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)"
"15. 안전장갑","-","12","0","0","0","0"
"00. 상위(상시체크)","-","27,097","862","3.19","1,397","1,204,214"
"01. 상품별효율키워드","-","606,355","11,234","1.86","1,544","17,348,892"
"00. 브랜드키워드_라보코스메티카","-","14,931","222","1.49","170","37,752"
"02. 마프라 기존키워드","-","43,598","896","2.06","795","712,019"
"03. 라보코스 기존키워드","-","70,428","971","1.38","313","303,787"
"브랜드검색_PC","라보코스메티카","929","411","44.25","0","0"
"브랜드검색_PC","마프라","3,746","1,748","46.67","0","0"
"브랜드검색_PC","마프라가죽","51","3","5.89","0","0"
"브랜드검색_PC","마프라가죽세정제","51","4","7.85","0","0"
"브랜드검색_PC","마프라몰","105","60","57.15","0","0"
"브랜드검색_PC","마프라버그클리너","42","0","0","0","0"
"브랜드검색_PC","마프라에네르고","39","6","15.39","0","0"
"브랜드검색_PC","마프라왁스","32","3","9.38","0","0"
"브랜드검색_PC","마프라카럭스","89","6","6.75","0","0"
"브랜드검색_PC","마프라코리아","119","51","42.86","0","0"
"브랜드검색_PC","마프라패스트블랙","45","0","0","0","0"
"브랜드검색_PC","마프라폴아웃","171","10","5.85","0","0"
"브랜드검색_PC","마프라프리머스","396","57","14.4","0","0"
"브랜드검색_PC","마프라휠앤타이어","1,665","124","7.45","0","0"
"브랜드검색_모바일","라보코스메티카","4,192","1,091","26.03","0","0"
"브랜드검색_모바일","마프라","13,741","4,985","36.28","0","0"
"브랜드검색_모바일","마프라가죽","298","6","2.02","0","0"
"브랜드검색_모바일","마프라가죽세정제","186","6","3.23","0","0"
"브랜드검색_모바일","마프라몰","287","119","41.47","0","0"
"브랜드검색_모바일","마프라버그클리너","159","6","3.78","0","0"
"브랜드검색_모바일","마프라에네르고","126","5","3.97","0","0"
"브랜드검색_모바일","마프라왁스","247","10","4.05","0","0"
"브랜드검색_모바일","마프라코리아","349","136","38.97","0","0"
"브랜드검색_모바일","마프라패스트블랙","87","0","0","0","0"
"브랜드검색_모바일","마프라휠앤타이어","8,052","414","5.15","0","0"
"브랜드검색_PC","라보코스메티카","201","89","44.28","0","0"
"브랜드검색_PC","마프라","910","473","51.98","0","0"
"브랜드검색_PC","마프라가죽","16","0","0","0","0"
"브랜드검색_PC","마프라가죽세정제","24","2","8.34","0","0"
"브랜드검색_PC","마프라몰","30","21","70","0","0"
"브랜드검색_PC","마프라에네르고","14","0","0","0","0"
"브랜드검색_PC","마프라왁스","3","0","0","0","0"
"브랜드검색_PC","마프라카럭스","18","2","11.12","0","0"
"브랜드검색_PC","마프라코리아","35","22","62.86","0","0"
"브랜드검색_PC","마프라패스트블랙","4","0","0","0","0"
"브랜드검색_PC","마프라폴아웃","17","1","5.89","0","0"
"브랜드검색_PC","마프라프리머스","67","15","22.39","0","0"
"브랜드검색_PC","마프라휠앤타이어","356","29","8.15","0","0"
"브랜드검색_PC","에네르고","28","3","10.72","0","0"
"브랜드검색_PC","퓨리피카","123","10","8.14","0","0"
